asset_number,title,department,manufacturer,manufacturer_model_number,manufacturer_serial_number,vendor,vendor_catalog_number,purchase_order_number,portable,asset_description,intended_use,process_range,classification,new_SOP,new_logbooks,calibration_required,calibration_justification_no,calibration_description,calibration_frequency,maintenance_required,maintenance_justification_no,maintenance_description,maintenance_frequency,scan_attached,tier_level,qual_val_needed,validation_justification_no,validation_description,protocol_number,comments
0113,Conductivity Meter,,VWR,1056,504051,VWR,1056,1080,Yes,Conductivity Meter,Measurements of salt concentrations in solutions and products,1.999µ° to 199.9 m°,GMP,Yes,Yes,Yes,n/a,718 mS +/- 10,CAL-12,No,Item will be standardized on a daily use basis. All information to be recorded in Log Book,,FALSE,,,No,,,n/a,Calibration changed to annually based on manufacturer's recommendations. Currently calibrated by Alert In-house. However after discussion with mfgr; it has been decided to send these out to the mfgr who is better equipped to calibrate these units.
0114,Weight Set; NIST Traceable 100G - 1 mg,QC,Troemner,N/A,95531,Troemner,14217-062,N/A,Yes,Weight Set; NIST Traceable 100G - 1 mg,To verify accuracy of balance used in various QC testing procedures,100g-1mg,GMP,No,No,Yes,n/a,mfr specs. Also see attached copy of calibration certificate to the accession form.,CAL-12,No,Weight sets do not require scheduled preventative maintenance,,FALSE,,,No,,,n/a,05Mar10 chg'd from semi annual to annual
0115,Pipet-Lite LTS Pipet (L200),QC,Rainin,L200,F0501140A,Rainin,L-200,1610,Yes,Pipet-Lite LTS Pipet (L200),Used to perform various QC testing protocols on components; in-process material; drug substance and drug-product,20 µL to 200 µL,GMP,No,No,Yes,n/a,20 ul = +/- 2.5%; 100 & 200 ul = +/- 0.8%,CAL-6,Yes,n/a,,PM-6,,,No,,,n/a,Level 4
0116,Pipet-Lite LTS Pipet (L10),QC,Rainin,L10,F0504465A,Rainin,L-10,1610,Yes,Pipet-Lite LTS Pipet (L10),Used to perform various QC testing protocols on components; in-process material; drug substance and drug-product,0.5µL to 10µL,GMP,No,No,Yes,n/a,1 ul = +/- 2.5%; 5 ul = +/- 1.5%; 10 ul = +/- 1%,CAL-6,Yes,n/a,,PM-6,,,No,,,n/a,Level 4
0117,Pipette Lite LTS Pipet (L1000),QC,Rainin,L1000,A0508169A,Rainin,L-1000,1610,Yes,Pipette Lite LTS Pipet (L1000),Used to performance QC testing protocols on components; In-process material; Drug sbustance and drug product,100 µL to 1000 µL,GMP,No,No,Yes,n/a,100 ul = +/- 3%; 500 & 1000 ul = +/- 0.8%,CAL-6,Yes,n/a,,PM-6,,,No,,,n/a,Level 4-need to find owner & update af
0118,Pipet Lite LTS Pipet (L100),QC,Rainin,L100,F0505293A,Rainin,L-100,1610,Yes,Pipet Lite LTS Pipet (L100),Used to performance QC testing protocols on components; In-process material; Drug sbustance and drug product,10 µL to 100 µL,GMP,No,No,Yes,n/a,10 ul = +/- 3.5%; 50 & 100 ul = +/- 0.8%,CAL-6,Yes,n/a,,PM-6,,,No,,,n/a,Level 4
0119,-20C freezer,MM,REVCO,ULT2540-9-A40,U28P-216989-VP,VWR,14228-606,992,No,-20C freezer,Storage of GMP materials,-10 to -30°C,GMP,No,Yes,Yes,n/a,-20C+/-2oC,CAL-6,Yes,n/a,(1)Clean compressor compartment; condenser and fan blades (2)remove ice build-up from sublids and breaker strips (3)check back-up alarm battery out of circuit,PM-6,Yes,Tier 2,No,N/A,05018-IOQ; 05010-IOQ-A1; 07048-IOQ,05018-IOQ; 05010-IOQ-A1; 07048-IOQ,Associated with 0497
0122,Fluoroskan Ascent FL Luminometer,QC,Thermo Electron Corp.,5210460,374-2327C,VWR,5210460,N/A,No,Fluoroskan Ascent FL Luminometer,Reporter gene assay,n/a,GMP,No,No,Yes,n/a,per mfr's spec: (1) theoretical sensitivity test: factory accetance sd limit: < 0.0003 (2) total dynamic range test: factory acceptance dynamic range: > 9 decades. For details refer to QC021,CAL-12,Yes,n/a,,PM-12,,,No,,,n/a,1. For details refer to QC021.  2. SOP QC021 specifies for annual ver. (calibration) but unit is cal'd every month for additional ver. QC will determine when to stop doing monthly cals & go back to annual cal once cal data is gen. & no OOT's &/or issues.
0123,Cedex Automatic Cell Counter,PD,Innovatis,CEDEXAS20,G007D1077,,,,No,Cedex Automatic Cell Counter,Coutn various cell types for assays and development of cell lines,100-250V; 2.3 A 50/60 Hz,Other,No,No,Yes,n/a,,CAL-6,Yes,n/a,,PM-6,,,No,,,,
0124,2-8C Refridgerator (flammable),,Sci-cool,FS17W1AREF,0508161-AO5H22-01,,,,No,2-8C Refridgerator (flammable),2-8°C storage of quality control reagents and controlled materials and test samples,2°C to 8°C,Other,No,No,Yes,n/a,,FALSE,Yes,Not required per user's manual,,FALSE,,,No,,,n/a,
0125,Conductivity Meter,,VWR,1056,504022,VWR,model 1056,1080,Yes,Conductivity Meter,Measurement of salt concentrations in solutions and products,1.999µ° to 199.9 m°,GMP,Yes,Yes,Yes,n/a,718 mS +/- 10,CAL-12,No,Item will be standardized on a daily use basis. All information to be recorded in Log Book,,FALSE,,,No,,,n/a,Calibration changed to annually based on manufacturer's recommendations. Currently calibrated by Alert In-house. However after discussion with mfgr; it has been decided to send these out to the mfgr who is better equipped to calibrate these units.
0128,Pipetboy pipetting aid,,Integra,155019,521106,,,,Yes,Pipetboy pipetting aid,Pipet liquids for; medium preperation; inoculum preocessing; and sample processing through sterile calibrated pepettes,n/a,Other,No,Yes,Yes,Pippette aid is used as a liquid pump only. The pipets are calibrated,,FALSE,Yes,n/a,,PM-6,,,No,,,n/a,
0130,Pipetboy pipetting aid,,Integra,155019,521106,,,,Yes,Pipetboy pipetting aid,Pipet liquids for; medium preperation; inoculum preocessing; and sample processing through sterile calibrated pepettes,n/a,Other,No,Yes,Yes,Pippette aid is used as a liquid pump only. The pipets are calibrated,,FALSE,Yes,n/a,,PM-6,,,No,,,n/a,
0131,Pressure Indicator 0-30,,Ashcroft,9198203,517,,,,Yes,Pressure Indicator 0-30,Measurement of pressure during production run steps (filtering; concentraations; diafilitrations),0-30 PSIG,Other,No,No,Yes,n/a,,CAL-6,Yes,n/a,,FALSE,,,No,,,n/a,
0132,Pressure Indicator 0-30,PD,Ashcroft,9198203,516,,,,Yes,Pressure Indicator 0-30,Measurement of pressure during production run steps (filtering; concentrations; diafiltration),0-30 PSIG,Other,No,No,Yes,n/a,,CAL-6,Yes,n/a,,FALSE,,,No,,,n/a,
0133,Pressure Indicator 0-60,,Ashcroft,9198203,516,,,,Yes,Pressure Indicator 0-60,Measurement of pressure during production run steps (filtering; concentrations; diafiltration),0-60 PSIG,Other,No,No,Yes,n/a,,CAL-6,Yes,n/a,,FALSE,,,No,,,n/a,
0134,Pressure Indicator 0-60,,Ashcroft,9198203,516,,,,Yes,Pressure Indicator 0-60,Measurement of pressure during production run steps (filtering; concentrations; diafiltration),0-60 PSIG,Other,No,No,Yes,n/a,,CAL-6,Yes,n/a,,FALSE,,,No,,,n/a,
0135,Pressure Indicator 0-60,,Ashcroft,9198203,516,,,,Yes,Pressure Indicator 0-60,Measurement of pressure during production run steps (filtering; concentrations; diafiltration),0-60 PSIG,Other,No,No,Yes,n/a,,CAL-6,Yes,n/a,,FALSE,,,No,,,n/a,
0136,Pressure Indicator 0-60,,Ashcroft,9198203,516,,,,Yes,Pressure Indicator 0-60,Measurement of pressure during production run steps (filtering; concentrations; diafiltration),0-60 PSIG,Other,No,No,Yes,n/a,,CAL-6,Yes,n/a,,FALSE,,,No,,,n/a,
0137,Pressure Indicator 0-60,,Ashcroft,9198203,516,,,,Yes,Pressure Indicator 0-60,Measurement of pressure during production run steps (filtering; concentrations; diafiltration),0-60 PSIG,Other,No,No,Yes,n/a,,CAL-7,Yes,n/a,,FALSE,,,No,,,n/a,
0138,Pressure Indicator 0-60,,Ashcroft,9198203,516,,,,Yes,Pressure Indicator 0-60,Measurement of pressure during production run steps (filtering; concentrations; diafiltration),0-60 PSIG,Other,No,No,Yes,n/a,,CAL-8,Yes,n/a,,FALSE,,,No,,,n/a,
0139,Digital Pressure Monitor,,Kros Flo,900-1607,G05006028,Spectrum Labs,ALPM-201-01N,1716,Yes,Digital Pressure Monitor,Digital display of pressures being run in the clarification system,n/a,GMP,Yes,No,Yes,n/a,Pressure: (1) Inlet (2) Permeate (3) Retentate: All  10psi +/- 2%,CAL-12,No,No PM required,,FALSE,,,No,,,n/a,
0140,Digital Pressure Monitor,,Kros Flo,900-1607,605006046,Spectrum Labs,ACPM-201-01N,1716,Yes,Digital Pressure Monitor,Digital display of pressures being run in the clarification system,n/a,GMP,Yes,No,Yes,n/a,Pressure: (1) Inlet (2) Permeate (3) Retentate: All  10psi +/- 2%,CAL-12,No,No PM required,,FALSE,,,No,,,n/a,
0141,Masterflex Pump,PD,Cole Parmer,77420-00,H05004933,,,,No,Masterflex Pump,Operational pump for clarification system,0.01 lpm to 17.0 lpm,Other,Yes,Yes,Yes,n/a,,FALSE,Yes,n/a,,FALSE,,,No,,,n/a,
0144,Matrix Impact 2 Electronic Pipettor (5-250 ul),QC,Matrix,2034,117681002,Matrix Technologies Corp.,2032,1753,No,Matrix Impact 2 Electronic Pipettor (5-250 ul),Used to perform Quality Control,5-250µL,GMP,Yes,Yes,Yes,n/a,5 ul = +/- 30%; 250 ul = +/- 2%,CAL-6,Yes,Maintenance performed only at time of calibration if needed,,PM-6,,,No,,,n/a,Level 4
0145,Air CO2 pump for Wave 20/50 systems,,Wave,CO2 MIX20 REVE,0444.0205.CO2MIX,,,,,,,,Other,,,Yes,,,CAL-12,Yes,,,PM-12,,,No,,,,no AF-owner/loc??
0146,Wave 20/50 EH base Unit,,Wave Biotech,BASE2050EH Rev J,0590 0305 2050EH,,,,,,,,Other,,,Yes,,,FALSE,Yes,,,FALSE,,,No,,,05021-IOQ,no AF-owner/loc??
0147,Crimper,PD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0150,Air CO2 pump for Wave 20/50 systems,PD,Wave,CO2MIX20,04590205CO2Mix,,,,,,,,,,,Yes,,,CAL-6,Yes,,,FALSE,,,No,,,,no af-owner/loc??
0151,Wave DO2O,,Wave,DO2O,01670304DO2O,,,,Yes,Wave DO2O,,,,No,No,Yes,,,FALSE,Yes,,,FALSE,,,No,,,,no af-owner/loc??
0153,Wave Bioreactor system 200EH,,Wave,Base 200 EH,00540804 200 EH,,,,,,,,Other,,,Yes,,,CAL-6,Yes,,,PM-6,,,No,,,06017-IOQ; 07052-IOQ,
0155,CO2 Mixbox,PD,Wave,CO2MIX20,04450205CO2Mix,,,,,,,,Other,,,Yes,,,FALSE,Yes,,,FALSE,,,No,,,,no af-owner/loc??
0157,Temperature monitoring Unit; Incubator (Top),,Forma Scientific,3326,32429-4046,,,,No,Temperature monitoring Unit; Incubator (Top),Incubate media plates between 30-35°C for a specified time,30°C to 35°C,Other,No,Yes,Yes,n/a,,FALSE,Yes,n/a,,FALSE,,,No,,,n/a,
0158,Power Supply,QC,Biorad,Power Pac 300,282BR 11115,N/A,N/A,N/A,No,Power Supply,To supply electric currant for the seperation of proteins,10V to 300V,GMP,No,No,Yes,n/a,voltage: 100 V; 300V +/- 2%; amperage: 100 amp; 300 amp +/- 2%: time: 5 mins +/- 1 min,CAL-6,No,The power pac instruction manual only suggest wiping the case as needed,,FALSE,,,No,,,08053-IOQ,(1) Previously Alerts service sht was used as PM sht. Upon review it was realized that there isn't any PM involved with this unit & hence NO PM has been marked (2) Only voltage & time are relevant however Amp has been tested also.
0159,Power Supply,QC,Biorad,Power Pac 3000,288BR 04356,N/A,N/A,N/A,No,Power Supply,To supply electric currant for the seperation of proteins,20V to 300V,GMP,No,No,Yes,n/a,Voltage: 100v; 400v +/- 5v; Amperage: 100amp; 400amp +/- 5amp; Time: 5 mins +/- 1 min,CAL-6,No,The power pac instruction manual only suggest wiping the case as needed,,FALSE,,,No,,,09059-IOQ,(1) Previously Alerts service sht was used as PM sht. Upon review it was realized that there isn't any PM involved with this unit & hence NO PM has been marked (2) Only voltage & time are relevant however Amp has been tested also.
0160,H6000 Rotor with Attachments,,Sorvall,HLR6/H6000H/HBB6,40406138,,,,No,H6000 Rotor with Attachments,Hold adapters in centrifuge RC-3B Sorvall,n/a,Other,No,No,No,n/a,,FALSE,No,None for rotor,,FALSE,,,No,,,n/a,
0161,Sterile Tube Fuser,,Wave Biotech,STFIR,0037.0604.STFIR/US,,,,No,Sterile Tube Fuser,Intended use for steily fuse tubing together by cutting and welding tubing together. Can be used for a variety of tubing and diameters,n/a,,No,No,Yes,n/a,16-24C @ 0.2V; 96-104C @ 1V; 396-404 @ 4V; 96-104C @ 100C; 396-404 @ 400C; 72-90 Amps @ 400C,CAL-6,Yes,n/a,,PM-6,,,No,,,08012-IOQ,owner/loc??
0162,Spectrophotometer,PD,Amersham Bioscience,UltroSpec3100,80-2112-31,,,,No,Spectrophotometer,,,Other,No,No,Yes,,,CAL-12,Yes,,,PM-12,,,No,,,06030-IOQ; 06040-IOQ,
0163,Blue M Oven,,Thermal Product Solutions,DCW366EST350,31506,,,629,No,Blue M Oven,To depyroglenate glassware to be used in Discovery and Development,n/a,Other,No,No,No,Oven is not calibrated but the chart recorder is,+/- 2,FALSE,Yes,n/a,,PM-6,,,No,,,n/a,
0165,Bone Densitometer,,Norland,476A004,1199,,,428,No,Bone Densitometer,Bone densitometer is a table-top unit that is used to evaluate changes in Bone density in laboratory mice,n/a,Other,Yes,No,No,This amchine runs a self-calibration program each time it is turned on,,FALSE,No,This machine will be repaired as needed,,FALSE,,,No,,,n/a,
0166,Cage and Bottle Washer,,Northwestern Sys Corp,C500,550-0105-N1634,,,,No,Cage and Bottle Washer,This machine is used for the sole purpose of cleaning and sanitizing animal cages and associated equipment,n/a,Other,No,No,No,Temperature tape is used for each run of the cagewasher. The tape turns black when machine achieves 180°F for three minutes,,FALSE,No,Machine is paired as needed,,FALSE,,,No,,,n/a,
0167,Mouse Treadmill and High Speed Camera,,Clever Sys Inc,Gait Treadmill,645 82-2,,,,No,Mouse Treadmill and High Speed Camera,This machine is used to evaluate te gaits of labrotary mice,n/a,Other,Yes,No,No,The manufacturer is available to calibrate machine as needed,,FALSE,No,The manufacturer is available to assit in maintenance of equipment as needed,,FALSE,,,No,,,n/a,
0168,Bedding Disposal Station,,,Cabinet model 3840000,050232587H,,,,Yes,Bedding Disposal Station,This is a portable unit designed to capture dust; participants; and animal dander as soiled animal cages are emptied,n/a,Other,No,No,Yes,n/a,,CAL-12,Yes,n/a,,PM-12,,,No,,,n/a,
0169,Three Rack System; holds 112 cages,,Hypnion,912814145TM,TH4,,,,No,Three Rack System; holds 112 cages,,,,No,No,Yes,,,CAL-12,Yes,,,FALSE,,,No,,,,no af-owner/loc??
0171,Biacore 3000,,Biacore Inc.,3000,CH3167,,,,No,Biacore 3000,Testing protein-protein interactions (Discovery phase),n/a,Other,No,No,Yes,Instrument requires calibration twice a year; which is provided during maintenance cisit from Biocorp certified engineer,,CAL-6,Yes,n/a,,PM-6,,,No,,,n/a,
0172,Particle Counter,,Beckman Coulter,21S/T,Alt14107,,,,No,Particle Counter,Counting cells,n/a,Other,No,No,No,n/a,,FALSE,No,n/a,,FALSE,,,No,,,n/a,
0173,BPG 100 Column,,Amersham Bioscience,18-1103-01,0509/1559,,,,No,BPG 100 Column,Purification Equipment,n/a,Other,Yes,Yes,Yes,n/a,,CAL-6,Yes,n/a,,PM-6,,,No,,,n/a,
0175,Conductivity Meter,QC,Orion,Star3,192,VWR,N/A,,No,Conductivity Meter,To measure the conductance of solutions,n/a,GMP,No,No,Yes,n/a,0.5% @ 1uS; 10uS; 100uS; 1mS; 10mS,CAL-6,No,Clean surface as needed,,FALSE,,,No,,,07009-IOQ; 07-009-IOQ-A1,
0176,Masterflex Peristaltic Pump,PD,Barnant Co.,7554-90,K04005014,,,,No,Masterflex Peristaltic Pump,Pump conditioned media from wavebag to wavebag,n/a,,No,No,Yes,Pump speed does not impact product,,FALSE,Yes,n/a,,FALSE,,,No,,,n/a,owner/loc??
0178,Perseptive Biosystems Biocad,,Applied Biosystems,Vision,345,,,,No,Perseptive Biosystems Biocad,,,,No,No,Yes,,,,Yes,,,,,,No,,,,no af-owner/loc??
0179,Perseptive Biosystems 250,,Applied Biosystems,BioCad 250,154,,,,No,Perseptive Biosystems 250,,,,No,No,Yes,,,,Yes,,,,,,No,,,,no af-owner/loc??
0180,VP-Capillary DSC Platform,,MicroCal LLC,SYS12904D,02.04.041.CAP,,,,No,VP-Capillary DSC Platform,,,,No,No,Yes,,,,Yes,,,,,,No,,,,no af-owner/loc??
0181,HP 1050 HPLC System,,Agilent,79855A,3227501325,,,,No,HP 1050 HPLC System,,,,No,No,Yes,,,,Yes,,,,,,No,,,,no af-owner/loc??
0182,Air Trap Manometer and attachments,PD,Amersham Bioscience,18-1102-96,0410/1074,,,,No,Air Trap Manometer and attachments,Measures over process colums,0-10 Bar,Other,No,No,Yes,n/a,+/- 0.5 BAR,CAL-6,Yes,n/a,,PM-6,,,No,,,n/a,
0183,Chemi/Genius 2,,Syngene,CG2-1,860111,,,,No,Chemi/Genius 2,n/a,n/a,Other,No,No,No,n/a,,FALSE,No,n/a,,FALSE,,,,,,n/a,
0184,Orbital Shaker,,ATR Biotech Inc,AJ118MULTITRONII,77530304AB2,,,,No,Orbital Shaker,To grow E.Coli,n/a,Other,No,No,No,Item only to be used for PS 6/19/07,± 10 @ 200 RPM; ± 0.5°C & ± 0:06,FALSE,No,Item to only be used for non-GxP,,FALSE,,,No,,,n/a,
0185,Microcentrifuge,QC,Eppendorf,5415D,5425 21924,N/A,N/A,N/A,Yes,Microcentrifuge,Used to spin down test samples for analysis as needed,n/a,GMP,No,Yes,Yes,n/a,,CAL-6,Yes,n/a,,PM-6,,,No,,,n/a,
0187,Pipet Aid,PD,IBS Integra,155019,519370,,,,No,Pipet Aid,Material transfer,n/a,Other,No,No,No,Item uses standard ti[[s with detailed graduates on them,,FALSE,No,No major working parts. Filter will use to be changed when needed,,FALSE,,,No,,,n/a,
0188,Pipet Aid,,IBS Integra,155019,519370,,,,No,Pipet Aid,Material transfer,n/a,Other,No,No,No,Item uses standard ti[[s with detailed graduates on them,,FALSE,No,No major working parts. Filter will use to be changed when needed,,FALSE,,,No,,,n/a,
0189,Kipp and Zonen Flatbed Chart Recorder,,Kipp and Zonen,56-3083-25,REC112003573,GE Healthcare,56-3083-25,1706,Yes,Kipp and Zonen Flatbed Chart Recorder,Recording of in-process outflows of chromatography purification,n/a,GMP,Yes,No,No,Equipment is dependent on reading process authors which are variable. A recorded deflexion is observed; product/material is being collected from the column ,N/A,FALSE,No,Ink pen & chart paper are consumables on this equipment. No major moving parts.,,FALSE,,,No,,,n/a,
0190,Digital Pressure Monitor,,Spectrum Labs,900-1607,J05005854,Spectrum Labs,900-1607,1907,Yes,Digital Pressure Monitor,Digitial pressure display for diafiltration process,n/a,GMP,No,No,Yes,n/a,Pressure: (1) Inlet (2) Permeate (3) Retentate: All  10psi +/- 2%,CAL-12,No,n/a,,FALSE,,,No,,,n/a,af set aside viriya will change the form to show no pm req'd
0191,Kipp and Zonen Flatbed Chart Recorder,PD,Kipp and Zonen,56-3083-25,REC112003506,,,,No,Kipp and Zonen Flatbed Chart Recorder,Recording of in-process flows of chromatography,n/a,Other,Yes,No,No,n/a,,FALSE,No,n/a,,FALSE,,,No,,,n/a,
0192,Bio Safety Cabinet,,Baker,Baker SG-250,SL-42662V,,,,No,Bio Safety Cabinet,Cleaner processing in the downstream purification runs,n/a,Other,No,Yes,Yes,n/a,,CAL-12,Yes,n/a,,FALSE,,,No,,,n/a,
0193,Column Manometer,PD,Nishino,18-1031-07,907401,,,,No,Column Manometer,Indicator of pressures over the volume of the chromatography columns,0-10 Bar,Other,No,No,Yes,n/a,+/- 0.5 bar,CAL-12,Yes,n/a,,PM-12,,,No,,,n/a,
0194,Column Manometer,PD,Nishino,18-1031-08,907402,,,,No,Column Manometer,Indicator of pressures over the volume of the chromatography columns,0-10 Bar,Other,No,No,Yes,n/a,+/- 0.5 bar,CAL-6,Yes,n/a,,PM-6,,,No,,,n/a,
0195,Superose 12 10/300 GL Size Exclusion Column,,Amersham Bioscience,Superose 12 10/300 GL,520093,,,,No,Superose 12 10/300 GL Size Exclusion Column,The column is used in an assay to determine impurity levels in a Drug substance or drug product batch,n/a,Other,No,No,Yes,n/a,,FALSE,Yes,n/a,,FALSE,,,No,,,n/a,
0198,Pipette 100-1000 uL,QC,Rainin,L-1000,10501685A,Rainin,L-1000,1965,Yes,Pipette 100-1000 uL,Development and performance of QC assays,100µL to 1000µL,GMP,No,No,Yes,n/a,100 ul = +/- 3%; 500 & 1000 = +/- 0.8%,CAL-6,Yes,n/a,,PM-6,,,No,,,n/a,Level 4
0199,Pipette 20-200 uL,QC,Rainin,L-1001,I0500238A,Rainin,L-200,1965,Yes,Pipette 20-200 uL,Development and performance of QC assays,20µL to 200µL,GMP,No,No,Yes,n/a,20 ul = +/- 2.5%; 100 & 200 ul = +/- 0.8%,CAL-6,Yes,n/a,See paper accession form.,PM-6,No (Calibration/Maintenance Not Required),Tier 4,No,See paper accession form.,See paper accession form.,n/a,Level 4
0200,Pipette 10-100 uL,QC,Rainin,L-1002,I0503756A,Rainin,L-100,1965,Yes,Pipette 10-100 uL,Development and performance of QC assays,10µL to 100µL,GMP,No,No,Yes,n/a,10 ul = +/- 3.5%; 50 & 100 ul = +/- 0.8%,CAL-6,Yes,n/a,See paper accession form.,PM-6,No (Calibration/Maintenance Not Required),Tier 4,No,See paper accession form.,See paper accession form.,n/a,Level 4
0201,Pipette 0.5-10 uL,QC,Rainin,L-1003,I0511355A,Rainin,L-10,1965,Yes,Pipette 0.5-10 uL,Development and performance of QC assays,0.5µL to 10µL,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require validation,N/A,N/A,N/A
0202,Pipette 100-1000 uL,QC,Rainin,L-1000,I0501725A,Rainin,L-1000,1965,Yes,Pipette 100-1000 uL,Development and performance of QC assays,100µL to 1000µL,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require validaton,N/A,N/A,N/A
