,asset_number,title,department,manufacturer,manufacturer_model_number,manufacturer_serial_number,vendor,vendor_catalog_number,purchase_order_number,portable,asset_description,intended_use,process_range,classification,new_SOP,new_logbooks,calibration_required,calibration_justification_no,calibration_description,calibration_frequency,maintenance_required,maintenance_justification_no,maintenance_description,maintenance_frequency,scan_attached,scan_file,tier_level,qual_val_needed,validation_justification_no,validation_description,protocol_number,comments
62,95,Chromatography Column,TBD,Amersham Bioscience,BPG 100/501,0503/1270,N/A,N/A,N/A,No,Chromatography Column,Protein Purification,N/A,Other,Yes,Yes,Yes,Item  does not have equipment on it that need calibration,TBD,FALSE,Yes,No major moving parts. All gaskets and seals are inspecteesd and cleaned during packing of new reams,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
63,96,Pall Integrity Tester,TBD,Flowstar,FFS-XC-HAM,23-1895 26,Pall,FFS-XC-HAM,883,Yes,Pall Integrity Tester,To test the integrity of any process filters used during operations. Only filters classifies as sterile barriers or used to maintain sterility will be tested,N/A,GMP,Yes,No,Yes,N/A,Pressure: 50 to 6000 +/- 20 mBar for Pressure Transducer P0 and P1; Flow: Check at ~ 8 ml/min; 90 ml/min and 990 ml/min +/- 3% of reading,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
64,97,Floor Scale,TBD,Amersham Bioscience,2888032001,1135581-IFG,N/A,N/A,N/A,No,Floor Scale,Measurements of weight,0 to 500 kg,Other,Yes,Yes,Yes,N/A,TBD,CAL-6,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
65,98,REC 112 Flatbed Chart Recorder,PD,Amersham Bioscience,56-3083-25,REC112  003569,N/A,N/A,N/A,No,REC 112 Flatbed Chart Recorder,operations with the UV-1 monitor this item will record the OD on ta strip chart during purification runws,(0-2 OD units),Other,Yes,No,No,N/A,N/A,N/A,No,Ink pen and chart paper are consumables on this equipment. No major working parts,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
66,99,Monitor uv. 1,PD,Amersham Bioscience,18-1003-66,1156862,N/A,N/A,N/A,No,Monitor uv. 1,Equipment will run w/ the flat bed chart recorders ID monitor OD during the Purification runs,N/A,Other,Yes,No,Yes,N/A,TBD,FALSE,Yes,N/A,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
67,100,REC 112 Flatbed Chart Recorder,PD,Amersham Bioscience,56-3083-25,REC112  003569,GE Healthcare,18-1132-33,N/A,No,REC 112 Flatbed Chart Recorder,operations with the UV-1 monitor this item will record the OD on ta strip chart during purification runws,(0-2 OD units),Other,Yes,No,No,N/A,N/A,N/A,No,Ink pen and chart paper are consumables on this equipment. No major working parts,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
68,101,Monitor uv. 1,PD,Amersham Bioscience,18-1003-66,1156862,N/A,N/A,N/A,No,Monitor uv. 1,Equipment will run w/ the flat bed chart to monitor OD during the Purification runs,N/A,Other,Yes,No,Yes,N/A,TBD,FALSE,Yes,N/A,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
69,102,Floor Scale (500 kg capacity),PD,Amersham Bioscience,2888032001,1135581-IFG,N/A,N/A,N/A,No,Floor Scale (500 kg capacity),Measurements of weight,0 to 500 kg,Other,Yes,Yes,Yes,N/A,TBD,CAL-6,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
70,103,VWR Inverted microscope,TBD,VWR,12778-198,V200440,N/A,N/A,N/A,No,VWR Inverted microscope,TBD,TBD,Other,No,No,Yes,N/A,TBD,FALSE,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
71,106,VWR analog dry block Heaters,QC,VWR,N/A,50425014,VWR,13259-032,25378737,Yes,VWR analog dry block Heaters,Used to perform various QC testing protocols on components; in-process materials; drug substance and drug product including but not limited too LAL; ELISA and protein concentration assays,Ambient to 150°C,GMP,No,No,No,N/A,N/A,N/A,No,VWR heatblock instruction manual does not require any scheduled preventive maitenence,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
72,107,Eppendorf Repeater plus pipette,QC,Eppendorf,Repeater plus,4883794,VWR,21516-002,26014111,Yes,Eppendorf Repeater plus pipette,Used to perform various QC testing protocols on components; in-process materials; drug substance and drug product,1µL to 10mL,GMP,No,No,Yes,N/A,100 ul = +/- 0.6%; 1000 ul = +/- 0.5%,CAL-6,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
73,108,Mettler toledo Balance,QC,Mettler Toledo,AB135-S,1126162561,VWR,11276-886,1239,No,Mettler toledo Balance,Accurate measurement of mass of reagents,0.01mg/0.1mg Dual Range-31g/120g,GMP,No,Yes,Yes,N/A,Eccentricity test: 50g at 5 spots +/- 0.0004g; Sensitivity: 100g +/- 0.0004g; Linearity: 0;20;40;60;80g +/- 0.0002g; Repeatability: 50g 10 times sd+/- 0.0001g,CAL-6,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,08055-IOQ,N/A
74,110,CO2 Incubator,PD,VWR,2400,7043305,VWR,35910-514,1480,No,CO2 Incubator,Provide controlled temp/CO2 environment for initial stages of cell culture,CO2: 0-20%; Temp: Ambient to 60°C,Other,Yes,Yes,No,N/A,temp: 37.0 +/- 0.5C; co2 5.0 +/- 0.5%,N/A,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,05016-IOQ,8/08 to 12/08 cal'd on a 1 month schedule. As of 1/09 changed to semi cal schedule. Associated with 0433-prev alerts sevice sht was used as PM. Mfr suggested PM (see pm tasks)
75,111,CO2 Incubator,TBD,VWR,2400,7043305,N/A,N/A,N/A,No,CO2 Incubator,Provide controlled temp/CO2 environment for initial stages of cell culture,CO2: 0-20%; Temp: Ambient to 60°C,Other,Yes,Yes,Yes,N/A,TBD,CAL-6,Yes,N/A,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
76,112,Conductivity Meter,TBD,VWR,1056,504052,VWR,1056,1080,Yes,Conductivity Meter,Measurements of salt concentrations in solutions and products,1.999µ° to 199.9m°,GMP,Yes,Yes,Yes,N/A,718 mS +/- 10,CAL-12,No,Item will be standardized on a daily use basis. All information to be recorded in Log Book,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,Currently calibrated by Alert In-house. However after discussion with mfgr; it has been decided to send these out to the mfgr who is better equipped to calibrate these units.
77,114,Weight Set; NIST Traceable 100G - 1 mg,QC,Troemner,N/A,95531,Troemner,14217-062,N/A,Yes,Weight Set; NIST Traceable 100G - 1 mg,To verify accuracy of balance used in various QC testing procedures,100g-1mg,GMP,No,No,Yes,N/A,mfr specs. Also see attached copy of calibration certificate to the accession form.,CAL-12,No,Weight sets do not require scheduled preventative maintenance,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,05Mar10 chg'd from semi annual to annual
78,115,Pipet-Lite LTS Pipet (L200),QC,Rainin,L200,F0501140A,Rainin,L-200,1610,Yes,Pipet-Lite LTS Pipet (L200),Used to perform various QC testing protocols on components; in-process material; drug substance and drug-product,20 µL to 200 µL,GMP,No,No,Yes,N/A,20 ul = +/- 2.5%; 100 & 200 ul = +/- 0.8%,CAL-6,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
79,116,Pipet-Lite LTS Pipet (L10),QC,Rainin,L10,F0504465A,Rainin,L-10,1610,Yes,Pipet-Lite LTS Pipet (L10),Used to perform various QC testing protocols on components; in-process material; drug substance and drug-product,0.5µL to 10µL,GMP,No,No,Yes,N/A,1 ul = +/- 2.5%; 5 ul = +/- 1.5%; 10 ul = +/- 1%,CAL-6,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
80,117,Pipette Lite LTS Pipet (L1000),QC,Rainin,L1000,A0508169A,Rainin,L-1000,1610,Yes,Pipette Lite LTS Pipet (L1000),Used to performance QC testing protocols on components; In-process material; Drug sbustance and drug product,100 µL to 1000 µL,GMP,No,No,Yes,N/A,100 ul = +/- 3%; 500 & 1000 ul = +/- 0.8%,CAL-6,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4-need to find owner & update af
81,118,Pipet Lite LTS Pipet (L100),QC,Rainin,L100,F0505293A,Rainin,L-100,1610,Yes,Pipet Lite LTS Pipet (L100),Used to performance QC testing protocols on components; In-process material; Drug sbustance and drug product,10 µL to 100 µL,GMP,No,No,Yes,N/A,10 ul = +/- 3.5%; 50 & 100 ul = +/- 0.8%,CAL-6,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
82,119,-20C freezer,MM,REVCO,ULT2540-9-A40,U28P-216989-VP,VWR,14228-606,992,No,-20C freezer,Storage of GMP materials,-10 to -30°C,GMP,No,Yes,Yes,N/A,-20C+/-2oC,CAL-6,Yes,N/A,(1)Clean compressor compartment; condenser and fan blades (2)remove ice build-up from sublids and breaker strips (3)check back-up alarm battery out of circuit,PM-6,Yes,0119_-20 Freezer_11apr2017.pdf,Tier 2,No,N/A,05018-IOQ; 05010-IOQ-A1; 07048-IOQ,05018-IOQ; 05010-IOQ-A1; 07048-IOQ,Associated with 0497
83,122,Fluoroskan Ascent FL Luminometer,QC,Thermo Electron Corp.,5210460,374-2327C,VWR,5210460,N/A,No,Fluoroskan Ascent FL Luminometer,Reporter gene assay,N/A,GMP,No,No,Yes,N/A,per mfr's spec: (1) theoretical sensitivity test: factory accetance sd limit: < 0.0003 (2) total dynamic range test: factory acceptance dynamic range: > 9 decades. For details refer to QC021,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,1. For details refer to QC021.  2. SOP QC021 specifies for annual ver. (calibration) but unit is cal'd every month for additional ver. QC will determine when to stop doing monthly cals & go back to annual cal once cal data is gen. & no OOT's &/or issues.
84,123,Cedex Automatic Cell Counter,PD,Innovatis,CEDEXAS20,G007D1077,N/A,N/A,N/A,No,Cedex Automatic Cell Counter,Coutn various cell types for assays and development of cell lines,100-250V; 2.3 A 50/60 Hz,Other,No,No,Yes,N/A,TBD,CAL-6,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
85,124,2-8C Refridgerator (flammable),TBD,Sci-cool,FS17W1AREF,0508161-AO5H22-01,N/A,N/A,N/A,No,2-8C Refridgerator (flammable),2-8°C storage of quality control reagents and controlled materials and test samples,2°C to 8°C,Other,No,No,Yes,N/A,TBD,FALSE,Yes,Not required per user's manual,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
86,128,Pipetboy pipetting aid,TBD,Integra,155019,521106,N/A,N/A,N/A,Yes,Pipetboy pipetting aid,Pipet liquids for; medium preperation; inoculum preocessing; and sample processing through sterile calibrated pepettes,N/A,Other,No,Yes,Yes,Pippette aid is used as a liquid pump only. The pipets are calibrated,TBD,FALSE,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
87,130,Pipetboy pipetting aid,TBD,Integra,155019,521106,N/A,N/A,N/A,Yes,Pipetboy pipetting aid,Pipet liquids for; medium preperation; inoculum preocessing; and sample processing through sterile calibrated pepettes,N/A,Other,No,Yes,Yes,Pippette aid is used as a liquid pump only. The pipets are calibrated,TBD,FALSE,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
88,131,Pressure Indicator 0-30,TBD,Ashcroft,9198203,517,N/A,N/A,N/A,Yes,Pressure Indicator 0-30,Measurement of pressure during production run steps (filtering; concentraations; diafilitrations),0-30 PSIG,Other,No,No,Yes,N/A,TBD,CAL-6,Yes,N/A,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
89,132,Pressure Indicator 0-30,PD,Ashcroft,9198203,516,N/A,N/A,N/A,Yes,Pressure Indicator 0-30,Measurement of pressure during production run steps (filtering; concentrations; diafiltration),0-30 PSIG,Other,No,No,Yes,N/A,TBD,CAL-6,Yes,N/A,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
90,133,Pressure Indicator 0-60,TBD,Ashcroft,9198203,516,N/A,N/A,N/A,Yes,Pressure Indicator 0-60,Measurement of pressure during production run steps (filtering; concentrations; diafiltration),0-60 PSIG,Other,No,No,Yes,N/A,TBD,CAL-6,Yes,N/A,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
91,134,Pressure Indicator 0-60,TBD,Ashcroft,9198203,516,N/A,N/A,N/A,Yes,Pressure Indicator 0-60,Measurement of pressure during production run steps (filtering; concentrations; diafiltration),0-60 PSIG,Other,No,No,Yes,N/A,TBD,CAL-6,Yes,N/A,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
92,135,Pressure Indicator 0-60,TBD,Ashcroft,9198203,516,N/A,N/A,N/A,Yes,Pressure Indicator 0-60,Measurement of pressure during production run steps (filtering; concentrations; diafiltration),0-60 PSIG,Other,No,No,Yes,N/A,TBD,CAL-6,Yes,N/A,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
93,136,Pressure Indicator 0-60,TBD,Ashcroft,9198203,516,N/A,N/A,N/A,Yes,Pressure Indicator 0-60,Measurement of pressure during production run steps (filtering; concentrations; diafiltration),0-60 PSIG,Other,No,No,Yes,N/A,TBD,CAL-6,Yes,N/A,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
94,137,Pressure Indicator 0-60,TBD,Ashcroft,9198203,516,N/A,N/A,N/A,Yes,Pressure Indicator 0-60,Measurement of pressure during production run steps (filtering; concentrations; diafiltration),0-60 PSIG,Other,No,No,Yes,N/A,TBD,CAL-7,Yes,N/A,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
95,138,Pressure Indicator 0-60,TBD,Ashcroft,9198203,516,N/A,N/A,N/A,Yes,Pressure Indicator 0-60,Measurement of pressure during production run steps (filtering; concentrations; diafiltration),0-60 PSIG,Other,No,No,Yes,N/A,TBD,CAL-8,Yes,N/A,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
96,139,Digital Pressure Monitor,TBD,Kros Flo,900-1607,G05006028,Spectrum Labs,ALPM-201-01N,1716,Yes,Digital Pressure Monitor,Digital display of pressures being run in the clarification system,N/A,GMP,Yes,No,Yes,N/A,Pressure: (1) Inlet (2) Permeate (3) Retentate: All  10psi +/- 2%,CAL-12,No,No PM required,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
97,140,Digital Pressure Monitor,TBD,Kros Flo,900-1607,605006046,Spectrum Labs,ACPM-201-01N,1716,Yes,Digital Pressure Monitor,Digital display of pressures being run in the clarification system,N/A,GMP,Yes,No,Yes,N/A,Pressure: (1) Inlet (2) Permeate (3) Retentate: All  10psi +/- 2%,CAL-12,No,No PM required,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
98,141,Masterflex Pump,PD,Cole Parmer,77420-00,H05004933,N/A,N/A,N/A,No,Masterflex Pump,Operational pump for clarification system,0.01 lpm to 17.0 lpm,Other,Yes,Yes,Yes,N/A,TBD,FALSE,Yes,N/A,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
99,144,Matrix Impact 2 Electronic Pipettor (5-250 ul),QC,Matrix,2034,117681002,Matrix Technologies Corp.,2032,1753,No,Matrix Impact 2 Electronic Pipettor (5-250 ul),Used to perform Quality Control,5-250µL,GMP,Yes,Yes,Yes,N/A,5 ul = +/- 30%; 250 ul = +/- 2%,CAL-6,Yes,Maintenance performed only at time of calibration if needed,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
100,145,Air CO2 pump for Wave 20/50 systems,TBD,Wave,CO2 MIX20 REVE,0444.0205.CO2MIX,N/A,N/A,N/A,No,TBD,TBD,TBD,Other,No,No,Yes,N/A,TBD,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,no AF-owner/loc??
101,146,Wave 20/50 EH base Unit,TBD,Wave Biotech,BASE2050EH Rev J,0590 0305 2050EH,N/A,N/A,N/A,No,TBD,TBD,TBD,Other,No,No,Yes,N/A,TBD,FALSE,Yes,N/A,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,05021-IOQ,no AF-owner/loc??
102,147,Crimper,PD,TBD,TBD,TBD,N/A,N/A,N/A,Yes,TBD,TBD,TBD,GMP,No,No,No,TBD,TBD,N/A,No,TBD,TBD,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,TBD,TBD,N/A,N/A
103,150,Air CO2 pump for Wave 20/50 systems,PD,Wave,CO2MIX20,04590205CO2Mix,N/A,N/A,N/A,No,TBD,TBD,TBD,GMP,No,No,Yes,N/A,TBD,CAL-6,Yes,N/A,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,no af-owner/loc??
104,151,Wave DO2O,TBD,Wave,DO2O,01670304DO2O,N/A,N/A,N/A,Yes,Wave DO2O,TBD,TBD,GMP,No,No,Yes,N/A,TBD,FALSE,Yes,N/A,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,no af-owner/loc??
105,153,Wave Bioreactor system 200EH,TBD,Wave,Base 200 EH,00540804 200 EH,N/A,N/A,N/A,No,TBD,TBD,TBD,Other,No,No,Yes,N/A,TBD,CAL-6,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,06017-IOQ; 07052-IOQ,N/A
106,155,CO2 Mixbox,PD,Wave,CO2MIX20,04450205CO2Mix,N/A,N/A,N/A,No,TBD,TBD,TBD,Other,No,No,Yes,N/A,TBD,FALSE,Yes,N/A,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,no af-owner/loc??
107,157,Temperature monitoring Unit; Incubator (Top),TBD,Forma Scientific,3326,32429-4046,N/A,N/A,N/A,No,Temperature monitoring Unit; Incubator (Top),Incubate media plates between 30-35°C for a specified time,30°C to 35°C,Other,No,Yes,Yes,N/A,TBD,FALSE,Yes,N/A,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
108,158,Power Supply,QC,Biorad,Power Pac 300,282BR 11115,N/A,N/A,N/A,No,Power Supply,To supply electric currant for the seperation of proteins,10V to 300V,GMP,No,No,Yes,N/A,voltage: 100 V; 300V +/- 2%; amperage: 100 amp; 300 amp +/- 2%: time: 5 mins +/- 1 min,CAL-6,No,The power pac instruction manual only suggest wiping the case as needed,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,08053-IOQ,(1) Previously Alerts service sht was used as PM sht. Upon review it was realized that there isn't any PM involved with this unit & hence NO PM has been marked (2) Only voltage & time are relevant however Amp has been tested also.
109,159,Power Supply,QC,Biorad,Power Pac 3000,288BR 04356,N/A,N/A,N/A,No,Power Supply,To supply electric currant for the seperation of proteins,20V to 300V,GMP,No,No,Yes,N/A,Voltage: 100v; 400v +/- 5v; Amperage: 100amp; 400amp +/- 5amp; Time: 5 mins +/- 1 min,CAL-6,No,The power pac instruction manual only suggest wiping the case as needed,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,09059-IOQ,(1) Previously Alerts service sht was used as PM sht. Upon review it was realized that there isn't any PM involved with this unit & hence NO PM has been marked (2) Only voltage & time are relevant however Amp has been tested also.
110,160,H6000 Rotor with Attachments,TBD,Sorvall,HLR6/H6000H/HBB6,40406138,N/A,N/A,N/A,No,H6000 Rotor with Attachments,Hold adapters in centrifuge RC-3B Sorvall,N/A,Other,No,No,No,N/A,N/A,N/A,No,None for rotor,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
111,161,Sterile Tube Fuser,TBD,Wave Biotech,STFIR,0037.0604.STFIR/US,N/A,N/A,N/A,No,Sterile Tube Fuser,Intended use for steily fuse tubing together by cutting and welding tubing together. Can be used for a variety of tubing and diameters,N/A,GMP,No,No,Yes,N/A,16-24C @ 0.2V; 96-104C @ 1V; 396-404 @ 4V; 96-104C @ 100C; 396-404 @ 400C; 72-90 Amps @ 400C,CAL-6,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,08012-IOQ,owner/loc??
112,162,Spectrophotometer,PD,Amersham Bioscience,UltroSpec3100,80-2112-31,N/A,N/A,N/A,No,Spectrophotometer,TBD,TBD,Other,No,No,Yes,N/A,TBD,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,06030-IOQ; 06040-IOQ,N/A
113,163,Blue M Oven,TBD,Thermal Product Solutions,DCW366EST350,31506,N/A,N/A,629,No,Blue M Oven,To depyroglenate glassware to be used in Discovery and Development,N/A,Other,No,No,No,Oven is not calibrated but the chart recorder is,+/- 2,N/A,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
114,165,Bone Densitometer,TBD,Norland,476A004,1199,N/A,N/A,428,No,Bone Densitometer,Bone densitometer is a table-top unit that is used to evaluate changes in Bone density in laboratory mice,N/A,Other,Yes,No,No,This amchine runs a self-calibration program each time it is turned on,N/A,N/A,No,This machine will be repaired as needed,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
115,166,Cage and Bottle Washer,TBD,Northwestern Sys Corp,C500,550-0105-N1634,N/A,N/A,N/A,No,Cage and Bottle Washer,This machine is used for the sole purpose of cleaning and sanitizing animal cages and associated equipment,N/A,Other,No,No,No,Temperature tape is used for each run of the cagewasher. The tape turns black when machine achieves 180°F for three minutes,N/A,N/A,No,Machine is paired as needed,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
116,167,Mouse Treadmill and High Speed Camera,TBD,Clever Sys Inc,Gait Treadmill,645 82-2,N/A,N/A,N/A,No,Mouse Treadmill and High Speed Camera,This machine is used to evaluate te gaits of labrotary mice,N/A,Other,Yes,No,No,The manufacturer is available to calibrate machine as needed,N/A,N/A,No,The manufacturer is available to assit in maintenance of equipment as needed,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
117,168,Bedding Disposal Station,TBD,TBD,Cabinet model 3840000,050232587H,N/A,N/A,N/A,Yes,Bedding Disposal Station,This is a portable unit designed to capture dust; participants; and animal dander as soiled animal cages are emptied,N/A,Other,No,No,Yes,N/A,TBD,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
